Timestamp,roll,pitch,heading,rollRate,pitchRate,yawRate,groundSpeed,airSpeed,airSpeedSetpoint,climbRate,altitudeRelative,altitudeAMSL,altitudeTuning,altitudeTuningSetpoint,xTrackError,flightDistance,flightTime,distanceToHome,missionItemIndex,headingToNextWP,headingToHome,distanceToGCS,throttlePct,hobbs,battery0.id,battery0.batteryFunction,battery0.batteryType,battery0.voltage,battery0.current,battery0.mahConsumed,battery0.temperature,battery0.percentRemaining,battery0.timeRemaining,battery0.timeRemainingStr,battery0.chargeState,battery0.instantPower,clock.currentTime,clock.currentDate,distanceSensor.rotationNone,distanceSensor.rotationYaw45,distanceSensor.rotationYaw90,distanceSensor.rotationYaw135,distanceSensor.rotationYaw180,distanceSensor.rotationYaw225,distanceSensor.rotationYaw270,distanceSensor.rotationYaw315,distanceSensor.rotationPitch90,distanceSensor.rotationPitch270,distanceSensor.minDistance,distanceSensor.maxDistance,escStatus.index,escStatus.rpm1,escStatus.rpm2,escStatus.rpm3,escStatus.rpm4,escStatus.current1,escStatus.current2,escStatus.current3,escStatus.current4,escStatus.voltage1,escStatus.voltage2,escStatus.voltage3,escStatus.voltage4,estimatorStatus.goodAttitudeEsimate,estimatorStatus.goodHorizVelEstimate,estimatorStatus.goodVertVelEstimate,estimatorStatus.goodHorizPosRelEstimate,estimatorStatus.goodHorizPosAbsEstimate,estimatorStatus.goodVertPosAbsEstimate,estimatorStatus.goodVertPosAGLEstimate,estimatorStatus.goodConstPosModeEstimate,estimatorStatus.goodPredHorizPosRelEstimate,estimatorStatus.goodPredHorizPosAbsEstimate,estimatorStatus.gpsGlitch,estimatorStatus.accelError,estimatorStatus.velRatio,estimatorStatus.horizPosRatio,estimatorStatus.vertPosRatio,estimatorStatus.magRatio,estimatorStatus.haglRatio,estimatorStatus.tasRatio,estimatorStatus.horizPosAccuracy,estimatorStatus.vertPosAccuracy,gps.lat,gps.lon,gps.mgrs,gps.hdop,gps.vdop,gps.courseOverGround,gps.lock,gps.count,gps2.lat,gps2.lon,gps2.mgrs,gps2.hdop,gps2.vdop,gps2.courseOverGround,gps2.lock,gps2.count,hygrometer.temperature,hygrometer.humidity,hygrometer.hygrometerid,localPosition.x,localPosition.y,localPosition.z,localPosition.vx,localPosition.vy,localPosition.vz,localPositionSetpoint.x,localPositionSetpoint.y,localPositionSetpoint.z,localPositionSetpoint.vx,localPositionSetpoint.vy,localPositionSetpoint.vz,setpoint.roll,setpoint.pitch,setpoint.yaw,setpoint.rollRate,setpoint.pitchRate,setpoint.yawRate,temperature.temperature1,temperature.temperature2,temperature.temperature3,terrain.blocksPending,terrain.blocksLoaded,vibration.xAxis,vibration.yAxis,vibration.zAxis,vibration.clipCount1,vibration.clipCount2,vibration.clipCount3,wind.direction,wind.speed,wind.verticalSpeed
2022-11-27 15:13:48.636,0.0,-0.0,57,-0.0,-0.0,-0.0,0.0,0.0,0.000,-0.0,-0.0,444.1,-0.020,0.000,0.000,0.0,00:00:00,0.1,0,0,--.--,--.--,0,0000:54:17,0,1,1,16.19,-1.00,0,--.--,100,--.--,--:--:--,1,-16.19,15:13:48,11/27/22,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,true,false,true,true,false,false,0.00,0.01,0.00,0.00,0.00,0.00,0.03,0.08,31.3637890,34.8771121,36RXV 78531 71442,0.0,0.0,0.0,3,15,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.2,0.1,0.1,-0.0,0.0,0.0,--.--,--.--,--.--,--.--,--.--,--.--,0.0,0.0,57.9,-0.1,0.0,-0.0,--.--,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2022-11-27 15:13:49.626,0.0,0.0,57,0.0,0.0,0.0,0.0,0.0,0.000,-0.0,-0.0,444.1,-0.021,0.000,0.000,0.0,00:00:01,0.0,0,0,--.--,--.--,18,0000:54:17,0,1,1,16.19,-1.00,0,--.--,100,--.--,--:--:--,1,-16.19,15:13:49,11/27/22,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,true,false,true,true,false,false,0.00,0.01,0.00,0.00,0.00,0.00,0.03,0.08,31.3637892,34.8771130,36RXV 78531 71442,0.0,0.0,0.0,3,15,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.2,0.1,0.1,-0.0,-0.0,0.0,0.2,0.1,0.1,-0.0,0.0,0.7,0.0,0.0,57.9,-0.0,-0.0,-0.0,--.--,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2022-11-27 15:13:50.629,0.0,0.0,57,-0.0,0.0,-0.0,0.0,0.0,0.000,0.0,0.0,444.1,-0.021,0.000,0.000,0.0,00:00:02,0.0,0,0,--.--,--.--,38,0000:54:17,0,1,1,16.13,-1.00,0,--.--,100,--.--,--:--:--,1,-16.13,15:13:50,11/27/22,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,true,false,true,true,false,false,0.00,0.03,0.00,0.00,0.00,0.00,0.04,0.09,31.3637892,34.8771137,36RXV 78531 71442,0.0,0.0,0.0,3,15,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.2,0.1,0.1,-0.0,-0.0,-0.0,0.2,0.1,0.1,-0.0,0.0,-0.2,0.0,0.0,57.9,-0.0,-0.0,0.0,--.--,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2022-11-27 15:13:51.626,0.0,0.0,57,0.1,0.0,-0.0,0.0,0.0,0.000,0.0,0.0,444.1,-0.020,0.000,0.000,0.0,00:00:03,0.0,0,0,--.--,--.--,53,0000:54:17,0,1,1,16.13,-1.00,0,--.--,100,--.--,--:--:--,1,-16.13,15:13:51,11/27/22,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,true,false,true,true,false,false,0.00,0.03,0.00,0.00,0.00,0.00,0.04,0.09,31.3637895,34.8771141,36RXV 78531 71442,0.0,0.0,0.0,3,15,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.2,0.1,0.1,-0.0,0.0,-0.0,0.2,0.1,0.1,0.0,-0.0,-0.7,-0.1,0.0,57.9,-0.9,0.3,-0.0,--.--,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2022-11-27 15:13:52.626,0.1,-0.1,57,0.2,0.1,0.0,0.0,0.0,0.000,0.5,0.1,444.2,0.140,0.000,0.000,0.0,00:00:04,0.0,0,0,--.--,--.--,64,0000:54:17,0,1,1,16.06,-1.00,0,--.--,100,--.--,--:--:--,1,-16.06,15:13:52,11/27/22,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,true,false,true,true,false,false,0.02,0.05,0.00,0.00,0.00,0.00,0.14,0.15,31.3637897,34.8771152,36RXV 78531 71442,0.0,0.0,260.0,3,15,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.2,0.0,-0.1,0.0,-0.0,-0.5,0.2,0.1,-0.1,-0.0,0.0,-1.3,0.2,-0.1,57.9,0.5,0.0,-0.0,--.--,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2022-11-27 15:13:53.627,0.0,-0.1,57,-0.3,-0.4,-0.0,0.0,0.0,0.000,0.7,0.8,444.9,0.845,0.000,0.000,0.0,00:00:05,0.0,0,0,--.--,--.--,62,0000:54:17,0,1,1,16.06,-1.00,0,--.--,100,--.--,--:--:--,1,-16.06,15:13:53,11/27/22,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,true,false,true,true,false,false,0.02,0.05,0.00,0.00,0.00,0.00,0.14,0.15,31.3637892,34.8771130,36RXV 78531 71442,0.0,0.0,76.8,3,15,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.2,0.0,-0.8,-0.0,0.0,-0.7,0.2,0.1,-0.8,0.0,0.0,-1.2,-0.0,-0.1,57.9,-0.2,-0.3,0.0,--.--,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2022-11-27 15:13:54.626,-0.0,0.0,57,0.1,0.0,0.0,0.0,0.0,0.000,0.6,1.5,445.5,1.493,0.000,0.000,0.0,00:00:06,0.0,0,0,--.--,--.--,61,0000:54:17,0,1,1,15.99,-1.00,0,--.--,100,--.--,--:--:--,1,-15.99,15:13:54,11/27/22,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,false,true,true,false,false,0.01,0.06,0.00,0.00,0.00,0.00,0.16,0.23,31.3637896,34.8771154,36RXV 78531 71442,0.0,0.0,38.6,3,15,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.2,0.1,-1.5,0.0,0.0,-0.6,0.2,0.1,-1.5,0.0,-0.0,-0.9,0.0,0.0,57.9,0.1,0.0,-0.0,--.--,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2022-11-27 15:13:55.627,0.1,0.0,57,-0.5,0.3,-0.1,0.0,0.0,0.000,0.2,1.9,446.0,1.890,0.000,0.000,0.0,00:00:07,0.0,0,0,--.--,--.--,62,0000:54:17,0,1,1,15.99,-1.00,0,--.--,100,--.--,--:--:--,1,-15.99,15:13:55,11/27/22,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,false,true,true,false,false,0.01,0.06,0.00,0.00,0.00,0.00,0.16,0.23,31.3637896,34.8771135,36RXV 78531 71442,0.0,0.0,93.2,3,15,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.2,0.0,-1.8,-0.0,0.0,-0.2,0.2,0.1,-2.0,-0.0,0.0,-0.4,0.1,0.1,57.9,-0.4,0.4,0.0,--.--,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2022-11-27 15:13:56.626,-0.1,0.2,57,-0.3,-0.9,-0.0,0.0,0.0,0.000,0.2,2.1,446.2,2.107,0.000,0.000,0.0,00:00:08,0.0,0,0,--.--,--.--,61,0000:54:17,0,1,1,15.91,-1.00,0,--.--,100,--.--,--:--:--,1,-15.91,15:13:56,11/27/22,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,false,true,true,false,false,0.01,0.08,0.00,0.00,0.00,0.00,0.18,0.29,31.3637884,34.8771143,36RXV 78531 71442,0.0,0.0,166.4,3,15,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.2,0.1,-2.1,-0.0,-0.0,-0.2,0.2,0.1,-2.2,-0.0,-0.0,-0.2,-0.1,0.0,57.9,-0.3,-0.9,-0.0,--.--,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2022-11-27 15:13:57.631,-0.3,0.0,57,-0.4,0.5,0.0,0.0,0.0,0.000,0.1,2.3,446.3,2.262,0.000,0.000,0.0,00:00:09,0.0,0,0,--.--,--.--,61,0000:54:17,0,1,1,15.91,-1.00,0,--.--,100,--.--,--:--:--,1,-15.91,15:13:57,11/27/22,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,false,true,true,false,false,0.01,0.08,0.00,0.00,0.00,0.00,0.18,0.29,31.3637902,34.8771156,36RXV 78531 71442,0.0,0.0,136.2,3,15,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.2,0.1,-2.2,-0.0,0.0,-0.1,0.2,0.1,-2.3,0.0,-0.0,-0.1,-0.3,0.1,57.9,-0.1,0.5,-0.0,--.--,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
